Age,Attrition,Department,JobRole,JobLevel,OverTime,BusinessTravel,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Engagement_Index,Engagement_Category,Burnout_Risk_Score,Burnout_Risk_Level,Satisfaction_Stability_Score,Workload_Stress_Indicator
41,1,Sales,Sales Executive,2,Yes,Travel_Rarely,1,4,2,1,1,6,4,0,2.5,Moderate,2,High,5.71909584179366,2
49,0,Research & Development,Research Scientist,2,No,Travel_Frequently,8,2,3,4,3,10,7,1,2.75,Moderate,0,Low,45.566894604818266,2
37,1,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,2,3,4,2,3,0,0,0,2.75,Moderate,1,Medium,45.566894604818266,2
33,0,Research & Development,Research Scientist,1,Yes,Travel_Frequently,3,3,4,3,3,8,7,3,3.25,High,1,Medium,66.66666666666667,3
27,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,2,1,4,3,2,2,2,2.5,Moderate,0,Low,13.93370341761296,1
32,0,Research & Development,Laboratory Technician,1,No,Travel_Frequently,2,4,4,3,2,7,7,3,3.5,High,1,Medium,36.17152614957746,2
59,0,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,3,1,3,1,2,1,0,0,2.25,Moderate,2,High,36.17152614957746,2
30,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,24,3,4,2,3,1,0,0,3.0,High,0,Low,45.566894604818266,1
38,0,Research & Development,Manufacturing Director,3,No,Travel_Frequently,23,3,4,2,3,9,7,1,2.75,Moderate,0,Low,45.566894604818266,2
36,0,Research & Development,Healthcare Representative,2,No,Travel_Rarely,27,3,3,2,2,7,7,7,2.75,Moderate,1,Medium,61.50998205402495,1
35,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,16,2,1,3,3,5,4,0,2.5,Moderate,0,Low,36.17152614957746,1
29,0,Research & Development,Laboratory Technician,2,Yes,Travel_Rarely,15,3,4,4,3,9,5,0,3.25,High,1,Medium,61.50998205402495,2
31,0,Research & Development,Research Scientist,1,No,Travel_Rarely,26,3,1,4,2,5,2,4,2.75,Moderate,1,Medium,13.93370341761296,1
34,0,Research & Development,Laboratory Technician,1,No,Travel_Rarely,19,4,2,3,3,2,2,1,3.0,High,0,Low,45.566894604818266,1
28,1,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,24,3,3,2,3,4,2,0,2.5,Moderate,1,Medium,66.66666666666667,2
29,0,Research & Development,Manufacturing Director,3,No,Travel_Rarely,21,1,2,3,3,10,9,8,2.5,Moderate,0,Low,36.17152614957746,1
32,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,5,2,1,4,2,6,2,0,2.75,Moderate,2,High,16.1129507192139,2
22,0,Research & Development,Laboratory Technician,1,Yes,Non-Travel,16,4,4,2,2,1,0,0,3.5,High,2,High,23.019964108049905,1
53,0,Sales,Manager,4,No,Travel_Rarely,2,4,1,3,3,25,8,3,2.5,Moderate,0,Low,16.1129507192139,1
38,0,Research & Development,Research Scientist,1,Yes,Travel_Rarely,2,4,4,3,3,3,2,1,3.5,High,1,Medium,61.50998205402495,2
24,0,Research & Development,Manufacturing Director,2,No,Non-Travel,11,3,1,4,2,4,2,1,3.0,High,1,Medium,13.93370341761296,0
36,1,Sales,Sales Representative,1,No,Travel_Rarely,9,1,3,2,3,5,3,0,2.0,Moderate,0,Low,36.17152614957746,1
34,0,Research & Development,Research Director,3,No,Travel_Rarely,7,2,1,3,3,12,6,2,2.25,Moderate,0,Low,36.17152614957746,1
21,0,Research & Development,Research Scientist,1,No,Travel_Rarely,15,4,3,4,3,0,0,0,3.5,High,0,Low,61.50998205402495,1
34,1,Research & Development,Research Scientist,1,No,Travel_Rarely,6,1,2,3,3,4,2,1,2.25,Moderate,0,Low,36.17152614957746,1
